Elevation,Azimuth,ITD,ILD,Spectral ILD,Spectral ITD,Left MFCC,Right MFCC
-20,0,[-0.00292517 -0.01018141],[0.14722402 2.8694877 ],[0.13911158 0.57182997],[-0.00580499 -0.00580499  0.        ],"[[-2.00717957e+02 -2.52446121e+02]
 [-5.11187124e+00 -1.64507961e+00]
 [-8.14696960e+01 -7.86492004e+01]
 [-1.71997166e+00  1.29990745e+00]
 [ 3.92124200e+00  7.75312328e+00]
 [ 7.33845520e+00  1.06506348e+01]
 [-3.88184814e+01 -3.64881058e+01]
 [ 1.03167019e+01  1.32473011e+01]
 [-9.57169247e+00 -6.30411530e+00]
 [ 1.04061050e+01  1.35269575e+01]
 [-1.69454994e+01 -1.45381680e+01]
 [-2.05252767e-02  1.87779593e+00]
 [-1.24061184e+01 -9.81170654e+00]
 [ 9.53642368e+00  1.16775131e+01]
 [-1.41312275e+01 -1.21686335e+01]
 [-6.03369570e+00 -4.72701168e+00]
 [ 1.78939271e+00  3.49789810e+00]
 [-1.42781382e+01 -1.30528154e+01]
 [ 2.42248726e+00  3.82787991e+00]
 [-4.09780788e+00 -3.18119264e+00]]","[[-2.0912007e+02 -2.6075049e+02]
 [ 1.7054161e+01  2.1034534e+01]
 [-1.0077542e+02 -9.7707016e+01]
 [ 7.6644716e+00  1.1085306e+01]
 [-1.2937591e+00  2.7415972e+00]
 [ 5.6252284e+00  9.4449329e+00]
 [-3.5086830e+01 -3.2504547e+01]
 [ 8.2807140e+00  1.1596256e+01]
 [-1.1098738e+01 -7.5603533e+00]
 [ 9.9003172e+00  1.3162536e+01]
 [-1.8170338e+01 -1.5385223e+01]
 [ 4.2315954e-01  2.6762075e+00]
 [-1.1628446e+01 -8.8132410e+00]
 [ 7.1835785e+00  9.7293968e+00]
 [-1.5230446e+01 -1.3229040e+01]
 [-2.0063682e+00 -6.5858826e-02]
 [-4.1243429e+00 -2.2332866e+00]
 [-8.8252563e+00 -7.3689251e+00]
 [-2.1736903e+00 -3.4009585e-01]
 [-4.0679207e+00 -3.0422201e+00]]"
-20,5,[-0.00287982 -0.01015873],[-1.71687484  1.55110687],[-1.77314714 -0.43225672],[-0.01160998 -0.00580499  0.        ],"[[-210.39223    -261.66852   ]
 [   0.7321454     4.2733536 ]
 [ -85.126175    -82.23723   ]
 [   0.78118813    3.8838234 ]
 [   4.585348      8.385971  ]
 [   5.3427105     8.764     ]
 [ -35.32793     -32.926174  ]
 [   8.946415     11.925289  ]
 [ -10.054714     -6.7906404 ]
 [  11.091877     14.233776  ]
 [ -17.694435    -15.2113495 ]
 [   1.9723519     3.9663548 ]
 [ -14.07807     -11.478966  ]
 [   9.740216     11.924147  ]
 [ -12.835916    -10.772703  ]
 [  -7.1667576    -5.842409  ]
 [   2.4193015     4.150388  ]
 [ -14.008678    -12.728344  ]
 [   1.3549851     2.6424174 ]
 [  -3.6622527    -2.704452  ]]","[[-2.00438492e+02 -2.52273331e+02]
 [ 1.34973850e+01  1.74075775e+01]
 [-1.03030472e+02 -1.00051567e+02]
 [ 1.03929729e+01  1.36709194e+01]
 [-2.52415848e+00  1.32918298e+00]
 [ 3.84404945e+00  7.51597452e+00]
 [-3.27701149e+01 -3.03165550e+01]
 [ 6.76331663e+00  1.00050993e+01]
 [-1.06226254e+01 -7.24478054e+00]
 [ 1.12272015e+01  1.44215355e+01]
 [-2.00931358e+01 -1.75083008e+01]
 [ 1.46503294e+00  3.62494898e+00]
 [-1.16388969e+01 -8.94231892e+00]
 [ 7.60022497e+00  1.00228567e+01]
 [-1.58865833e+01 -1.40410576e+01]
 [-1.61866045e+00  1.56621233e-01]
 [-4.19766426e+00 -2.33960080e+00]
 [-7.89230442e+00 -6.52971649e+00]
 [-2.43774867e+00 -7.45011628e-01]
 [-4.36160564e+00 -3.43788028e+00]]"
-20,10,[-0.00283447 -0.01176871],[-3.35646838  1.48246288],[-3.45999539 -1.23179801],[-0.01160998 -0.00580499  0.        ],"[[-221.19945   -272.04303  ]
 [   7.137766    10.699541 ]
 [ -86.83461    -83.826515 ]
 [   1.2390652    4.512359 ]
 [   4.9895763    8.872537 ]
 [   5.2332006    8.812044 ]
 [ -33.783966   -31.19099  ]
 [   7.729537    10.7156315]
 [ -10.072514    -6.659793 ]
 [  10.279864    13.490845 ]
 [ -16.81673    -14.141271 ]
 [   3.1644573    5.2694435]
 [ -16.239908   -13.501495 ]
 [  10.238302    12.406694 ]
 [ -12.430025   -10.095828 ]
 [  -7.5108023   -6.123394 ]
 [   2.7952633    4.5953274]
 [ -15.28035    -13.881601 ]
 [   2.1366463    3.4959514]
 [  -4.342819    -3.3336072]]","[[-1.93846649e+02 -2.45973648e+02]
 [ 1.12540703e+01  1.52352200e+01]
 [-1.03791687e+02 -1.00801056e+02]
 [ 1.15495129e+01  1.47601433e+01]
 [-4.15607882e+00 -2.36994252e-01]
 [ 3.77871943e+00  7.37515736e+00]
 [-3.21401291e+01 -2.96501274e+01]
 [ 5.65027618e+00  8.87727356e+00]
 [-1.00582924e+01 -6.68713379e+00]
 [ 1.14361134e+01  1.46835251e+01]
 [-2.08001175e+01 -1.82856483e+01]
 [ 1.98989582e+00  4.22079849e+00]
 [-1.14330235e+01 -8.74715805e+00]
 [ 7.18958950e+00  9.55152416e+00]
 [-1.63908806e+01 -1.45423946e+01]
 [-9.88167405e-01  7.40399539e-01]
 [-4.57666397e+00 -2.64361715e+00]
 [-7.60539198e+00 -6.24536419e+00]
 [-2.11929798e+00 -3.76474112e-01]
 [-4.81986237e+00 -3.88232255e+00]]"
-20,15,[-0.00281179 -0.01176871],[-4.83164668  1.22186199],[-4.99053627 -1.94347411],[-0.01741497  0.          0.        ],"[[-232.40843   -282.73608  ]
 [  14.172661    17.614643 ]
 [ -88.62317    -85.59238  ]
 [   2.0347366    5.564121 ]
 [   5.446542     9.216686 ]
 [   5.4368553    9.24082  ]
 [ -31.714346   -29.013062 ]
 [   6.11372      9.038506 ]
 [  -9.804461    -6.3077917]
 [   9.845553    13.136491 ]
 [ -15.846055   -13.074039 ]
 [   4.8046627    6.955612 ]
 [ -19.15786    -16.284258 ]
 [  11.963982    13.992    ]
 [ -12.74522    -10.142378 ]
 [  -7.037374    -5.590813 ]
 [   2.9983149    4.671071 ]
 [ -16.742834   -15.067362 ]
 [   4.0658407    5.317843 ]
 [  -5.8690023   -4.7962594]]","[[-188.21237    -240.54889   ]
 [   9.819405     13.873564  ]
 [-105.14586    -102.09771   ]
 [  13.290814     16.507973  ]
 [  -6.4482126    -2.450243  ]
 [   4.0836143     7.668315  ]
 [ -31.722435    -29.140446  ]
 [   5.0136824     8.272265  ]
 [ -10.397036     -7.0248356 ]
 [  11.694454     15.053344  ]
 [ -21.388062    -18.88696   ]
 [   2.4304059     4.799198  ]
 [ -11.073157     -8.358761  ]
 [   5.9339876     8.24908   ]
 [ -16.31857     -14.397073  ]
 [  -0.72224504    0.999794  ]
 [  -5.130211     -3.0898042 ]
 [  -7.124249     -5.7022457 ]
 [  -2.105714     -0.28992456]
 [  -5.43979      -4.4471498 ]]"
-20,20,[-0.00276644 -0.01047619],[-6.13168478  2.16345474],[-6.35683775 -2.44484976],[-0.01741497  0.          0.00580499],"[[-242.33624   -292.11484  ]
 [  19.504845    22.687572 ]
 [ -89.13516    -86.103546 ]
 [   2.4504547    6.139918 ]
 [   5.517432     9.13781  ]
 [   7.0400724   10.980595 ]
 [ -31.33293    -28.571327 ]
 [   5.8062954    8.568031 ]
 [ -10.557007    -7.002646 ]
 [   9.870379    13.164338 ]
 [ -14.055037   -11.2703495]
 [   4.345793     6.5090475]
 [ -20.084282   -17.223877 ]
 [  12.516512    14.408437 ]
 [ -12.483347    -9.696823 ]
 [  -6.4825335   -5.128694 ]
 [   2.2128596    3.757403 ]
 [ -16.483543   -14.623209 ]
 [   4.6445622    5.6705446]
 [  -6.592065    -5.482645 ]]","[[-184.2125     -236.75026   ]
 [  10.024382     14.107193  ]
 [-107.60793    -104.51048   ]
 [  15.866215     19.05273   ]
 [  -9.229336     -5.1665626 ]
 [   4.6388845     8.186709  ]
 [ -31.365652    -28.703796  ]
 [   4.8617935     8.117275  ]
 [ -11.306667     -7.9621787 ]
 [  11.892883     15.29597   ]
 [ -21.600239    -19.084105  ]
 [   2.9356382     5.391408  ]
 [ -10.62956      -7.8977847 ]
 [   4.4170375     6.6280103 ]
 [ -15.930014    -13.942419  ]
 [  -0.29662615    1.3591597 ]
 [  -6.1650367    -4.0366077 ]
 [  -5.943841     -4.5243573 ]
 [  -2.4793868    -0.6128775 ]
 [  -6.1715255    -5.220148  ]]"
-20,25,[-0.00272109 -0.01047619],[-7.30472267  1.09001875],[-7.60467112 -2.97609776],[-0.02321995 -0.02321995  0.00580499],"[[-251.5481     -300.89368   ]
 [  23.54472      26.95454   ]
 [ -88.62254     -85.428955  ]
 [   2.058568      5.991659  ]
 [   5.5354424     9.401405  ]
 [   9.560001     13.669865  ]
 [ -32.917374    -29.797455  ]
 [   6.909004      9.662591  ]
 [ -12.487942     -8.6483    ]
 [  10.266468     13.767752  ]
 [ -11.687892     -8.785367  ]
 [   1.258625      3.8035622 ]
 [ -18.516418    -15.759218  ]
 [  11.521226     13.792437  ]
 [ -12.009449     -9.060482  ]
 [  -6.174879     -4.7398925 ]
 [   0.84006214    2.693438  ]
 [ -14.886186    -12.953402  ]
 [   3.0839362     4.2828093 ]
 [  -6.0775433    -4.7870975 ]]","[[-1.81425262e+02 -2.34098221e+02]
 [ 1.13137150e+01  1.55323286e+01]
 [-1.10420990e+02 -1.07229126e+02]
 [ 1.85411415e+01  2.18352318e+01]
 [-1.16964149e+01 -7.52293682e+00]
 [ 4.85515404e+00  8.47197437e+00]
 [-3.04923515e+01 -2.76418133e+01]
 [ 4.44173908e+00  7.74086666e+00]
 [-1.17617083e+01 -8.31690598e+00]
 [ 1.11249599e+01  1.46076107e+01]
 [-2.07134743e+01 -1.80661697e+01]
 [ 2.83335543e+00  5.49811745e+00]
 [-9.78741646e+00 -7.01049423e+00]
 [ 2.48563957e+00  4.75702047e+00]
 [-1.51601028e+01 -1.30785885e+01]
 [ 1.19217411e-01  1.87000871e+00]
 [-7.53037643e+00 -5.28057146e+00]
 [-4.37657738e+00 -2.83401179e+00]
 [-3.17437267e+00 -1.20042872e+00]
 [-7.04197359e+00 -6.03421307e+00]]"
-20,30,[-0.00267574 -0.01210884],[-8.37716877 -0.14152585],[-8.75723183 -3.45515132],[-0.02902494 -0.02321995  0.00580499],"[[-262.38956    -311.5025    ]
 [  29.909706     32.94168   ]
 [ -89.420204    -86.35844   ]
 [   2.3373697     5.9704866 ]
 [   6.5818563    10.298471  ]
 [  10.564777     14.411322  ]
 [ -32.558197    -29.593304  ]
 [   6.3200293     8.747434  ]
 [ -13.007371     -9.398308  ]
 [  11.300949     14.5882015 ]
 [ -10.983315     -8.32764   ]
 [  -0.45651388    1.8531532 ]
 [ -17.112469    -14.605486  ]
 [  11.192556     13.214964  ]
 [ -12.30148      -9.528233  ]
 [  -5.585224     -4.4275646 ]
 [   0.52895194    2.258797  ]
 [ -14.284439    -12.675824  ]
 [   2.2142758     3.257179  ]
 [  -6.017063     -5.0111265 ]]","[[-1.79351395e+02 -2.32353714e+02]
 [ 1.31478987e+01  1.71772995e+01]
 [-1.12814575e+02 -1.09854752e+02]
 [ 2.07729950e+01  2.39005508e+01]
 [-1.32465830e+01 -9.32607174e+00]
 [ 4.51397371e+00  7.94232512e+00]
 [-2.87346649e+01 -2.60454636e+01]
 [ 3.37724471e+00  6.42227650e+00]
 [-1.10239983e+01 -7.78551292e+00]
 [ 9.08788872e+00  1.23222570e+01]
 [-1.83202782e+01 -1.58543234e+01]
 [ 1.95579672e+00  4.56868553e+00]
 [-8.42456818e+00 -5.98194361e+00]
 [ 6.92974329e-01  2.81879187e+00]
 [-1.45141640e+01 -1.27181301e+01]
 [ 1.36196995e+00  2.99942970e+00]
 [-9.79755020e+00 -7.80584240e+00]
 [-1.51338553e+00 -7.52801299e-02]
 [-5.10437679e+00 -3.38201427e+00]
 [-6.40034771e+00 -5.54664135e+00]]"
-20,35,[-0.00265306 -0.01034014],[-9.33146    -1.03222914],[-9.7848022  -3.88314813],[-0.02902494 -0.02321995 -0.01160998],"[[-2.73421326e+02 -3.21972595e+02]
 [ 3.60589676e+01  3.90963974e+01]
 [-9.12056198e+01 -8.78191147e+01]
 [ 3.34474182e+00  7.04288244e+00]
 [ 6.56731558e+00  1.05879097e+01]
 [ 1.15044098e+01  1.54723883e+01]
 [-3.27620277e+01 -2.96010017e+01]
 [ 5.02738762e+00  7.60573769e+00]
 [-1.31683807e+01 -9.41593742e+00]
 [ 1.21453114e+01  1.55122166e+01]
 [-1.21382265e+01 -9.21970367e+00]
 [-1.27484643e+00  1.02147555e+00]
 [-1.52463551e+01 -1.24851408e+01]
 [ 8.99335384e+00  1.11071835e+01]
 [-1.18156986e+01 -8.94264507e+00]
 [-5.27622986e+00 -3.86539412e+00]
 [ 4.46251221e-02  1.91322088e+00]
 [-1.39765911e+01 -1.23958530e+01]
 [ 4.59735036e-01  1.80130720e+00]
 [-4.69427729e+00 -3.73610139e+00]]","[[-177.16554    -230.25421   ]
 [  13.395026     17.648975  ]
 [-113.97754    -110.86591   ]
 [  21.186611     24.476582  ]
 [ -14.245051    -10.133457  ]
 [   3.8334596     7.402363  ]
 [ -27.92368     -25.023546  ]
 [   2.9437604     6.1424723 ]
 [ -11.639271     -8.30922   ]
 [   7.7343373    11.130632  ]
 [ -16.862463    -14.221097  ]
 [   0.9566152     3.7945786 ]
 [  -7.2966166    -4.731777  ]
 [  -1.676116      0.56363577]
 [ -13.393336    -11.465495  ]
 [   1.2195108     3.0573196 ]
 [ -10.998058     -8.916319  ]
 [  -0.37621063    1.2438959 ]
 [  -6.357152     -4.4963174 ]
 [  -6.328903     -5.3871613 ]]"
-20,40,[-0.00260771 -0.01031746],[-10.20164132  -1.74720556],[-10.71269035  -4.36133474],[-0.02902494 -0.02321995 -0.01160998],"[[-284.2391     -332.2147    ]
 [  42.860786     45.390553  ]
 [ -92.945694    -89.40148   ]
 [   5.249387      8.782206  ]
 [   7.0349455    10.924892  ]
 [  11.687437     15.734558  ]
 [ -31.629375    -28.823898  ]
 [   2.535522      5.3028927 ]
 [ -11.382099     -8.004776  ]
 [  12.327581     15.681166  ]
 [ -14.910581    -12.072074  ]
 [   1.6816459     3.7890308 ]
 [ -16.271652    -13.5144005 ]
 [   7.804467      9.766861  ]
 [ -10.88092      -8.12702   ]
 [  -4.8099566    -3.2816863 ]
 [  -0.51132       1.0123467 ]
 [ -14.305029    -12.646904  ]
 [   0.35541207    1.387636  ]
 [  -4.5180855    -3.4565911 ]]","[[-174.77928    -228.02771   ]
 [  13.108482     17.464111  ]
 [-113.93268    -110.798645  ]
 [  20.976376     24.32679   ]
 [ -14.806078    -10.645239  ]
 [   3.696542      7.31758   ]
 [ -27.69757     -24.71525   ]
 [   3.1475155     6.3853264 ]
 [ -12.913654     -9.564346  ]
 [   7.3456354    10.78716   ]
 [ -16.10001     -13.365109  ]
 [   0.23609364    3.178156  ]
 [  -6.3491817    -3.734058  ]
 [  -3.692417     -1.4357584 ]
 [ -12.074162    -10.0497265 ]
 [   0.5213152     2.428597  ]
 [ -11.06082      -8.912548  ]
 [  -0.39393663    1.2779894 ]
 [  -6.699772     -4.756113  ]
 [  -6.303893     -5.315995  ]]"
-20,45,[-0.00256236 -0.01029478],[-10.99702597  -1.90971151],[-11.5601635   -4.66667831],[-0.02902494 -0.02321995 -0.01741497],"[[-293.16144    -340.81494   ]
 [  47.89238      49.841316  ]
 [ -92.87181     -89.33383   ]
 [   7.3209286    10.336792  ]
 [   7.014903     10.744776  ]
 [  13.150236     16.973484  ]
 [ -31.952017    -29.752523  ]
 [   1.956793      4.8317766 ]
 [  -9.630247     -6.916567  ]
 [  11.707911     14.725129  ]
 [ -16.404394    -13.497492  ]
 [   5.890481      7.0823774 ]
 [ -18.740078    -15.675035  ]
 [   7.310702      8.508953  ]
 [  -7.652505     -4.90557   ]
 [  -6.0703716    -4.886878  ]
 [  -0.66444325    0.53932154]
 [ -12.731253    -11.46828   ]
 [  -1.4715996    -0.6875491 ]
 [  -2.1641068    -1.3060819 ]]","[[-1.72704514e+02 -2.26311707e+02]
 [ 1.30676270e+01  1.72661858e+01]
 [-1.13267334e+02 -1.10409058e+02]
 [ 2.08102760e+01  2.39687157e+01]
 [-1.52922659e+01 -1.13891163e+01]
 [ 4.45037651e+00  7.86906910e+00]
 [-2.76189690e+01 -2.48550911e+01]
 [ 3.69519615e+00  6.68273926e+00]
 [-1.39411945e+01 -1.08434620e+01]
 [ 7.71500826e+00  1.09097185e+01]
 [-1.51847353e+01 -1.26404076e+01]
 [-5.58299959e-01  2.16213465e+00]
 [-5.00283337e+00 -2.61986589e+00]
 [-5.09220362e+00 -3.07168555e+00]
 [-1.06581564e+01 -8.85562897e+00]
 [ 5.89783862e-03  1.71897411e+00]
 [-1.06633577e+01 -8.76935768e+00]
 [-3.57828498e-01  1.10365760e+00]
 [-6.89434052e+00 -5.20558405e+00]
 [-5.52628231e+00 -4.70826912e+00]]"
