Elevation,Azimuth,ITD,ILD,Spectral ILD,Spectral ITD,Left MFCC,Right MFCC
10,0,[-0.00292517 -0.0114966 ],[-0.19410819 -0.17670825],[-0.20170813 -0.08525781],[-0.00580499 -0.00580499 -0.00580499],"[[-2.0522984e+02 -2.5621863e+02]
 [-7.5115304e+00 -3.7681234e+00]
 [-8.2087364e+01 -7.8855698e+01]
 [-2.1278104e-01  4.1856804e+00]
 [ 9.8852768e+00  1.4655295e+01]
 [ 1.4874184e+01  2.0084167e+01]
 [-2.7741890e+01 -2.4690010e+01]
 [ 6.0100470e+00  9.4239511e+00]
 [-2.5418716e+01 -2.1909424e+01]
 [ 1.3811485e+01  1.6863064e+01]
 [-1.6211838e+01 -1.2421764e+01]
 [ 4.5097051e+00  7.5927835e+00]
 [-1.0624222e+01 -7.9369946e+00]
 [-4.4907894e+00 -1.4641349e+00]
 [-2.4271946e+00  6.6653669e-02]
 [-6.8892803e+00 -4.7435923e+00]
 [-7.9477687e+00 -5.6066856e+00]
 [-5.4634511e-01  1.1875739e+00]
 [-1.0057462e+01 -7.6653156e+00]
 [ 9.7605711e-01  2.3535395e+00]]","[[-204.82095    -255.98521   ]
 [   1.543352      5.3738103 ]
 [ -93.502655    -90.36952   ]
 [  12.568851     16.681412  ]
 [  -1.2572005     3.5274544 ]
 [  17.734596     22.638313  ]
 [ -25.957813    -23.013275  ]
 [   0.40375224    3.6144454 ]
 [ -20.168734    -16.943779  ]
 [   8.346791     11.604401  ]
 [ -13.106848     -9.732246  ]
 [   4.6064444     7.6456323 ]
 [ -12.746629    -10.173012  ]
 [  -3.9258623    -1.4514028 ]
 [  -4.937739     -2.527296  ]
 [  -4.780056     -2.7059534 ]
 [  -7.3526974    -5.207977  ]
 [  -4.184613     -2.5581589 ]
 [  -5.336868     -3.187674  ]
 [  -3.7650282    -2.4835114 ]]"
10,5,[-0.00287982 -0.0114966 ],[-1.77327976  0.20535238],[-1.8402718  -0.41144837],[-0.00580499 -0.00580499 -0.00580499],"[[-2.1575032e+02 -2.6627789e+02]
 [-1.5590608e+00  1.9269518e+00]
 [-8.3015976e+01 -7.9773422e+01]
 [-7.4187987e-02  4.4249620e+00]
 [ 1.2056173e+01  1.6554193e+01]
 [ 1.3393429e+01  1.8852280e+01]
 [-2.5657455e+01 -2.2755911e+01]
 [ 6.4822407e+00  9.8218880e+00]
 [-2.6663971e+01 -2.3042850e+01]
 [ 1.4611784e+01  1.7242813e+01]
 [-1.7696312e+01 -1.3814174e+01]
 [ 4.9053755e+00  7.8822336e+00]
 [-9.9674091e+00 -7.4143500e+00]
 [-4.3144951e+00 -9.9063313e-01]
 [-1.4677981e+00  7.8408659e-01]
 [-7.5185843e+00 -5.3396754e+00]
 [-8.5476952e+00 -6.2638698e+00]
 [ 9.0885758e-01  2.4158075e+00]
 [-1.1285000e+01 -8.6890488e+00]
 [ 1.8857884e+00  3.0226245e+00]]","[[-196.68414   -248.0695   ]
 [  -2.271892     1.6872628]
 [ -92.78573    -89.55766  ]
 [  11.832988    15.998209 ]
 [  -2.7107458    2.141203 ]
 [  17.868103    22.849731 ]
 [ -25.856628   -22.848269 ]
 [  -1.4347887    1.8612311]
 [ -18.872887   -15.573809 ]
 [   7.722384    11.18433  ]
 [ -11.636275    -8.076049 ]
 [   4.1407204    7.3158875]
 [ -12.519146    -9.881167 ]
 [  -5.2050753   -2.7199864]
 [  -4.7854385   -2.3121057]
 [  -4.8182993   -2.5938313]
 [  -7.141221    -4.884114 ]
 [  -4.4017496   -2.6516895]
 [  -5.798352    -3.5526464]
 [  -3.2350245   -1.8159771]]"
10,10,[-0.00283447 -0.01006803],[-3.35172743  0.1217572 ],[-3.47939163 -0.77065572],[-0.00580499 -0.00580499 -0.00580499],"[[-226.8024     -276.74042   ]
 [   4.8826466     8.175089  ]
 [ -85.15875     -81.78859   ]
 [   1.1959167     5.986953  ]
 [  13.311291     17.57631   ]
 [  11.93578      17.84995   ]
 [ -23.494577    -20.699245  ]
 [   5.535205      8.907448  ]
 [ -27.142176    -23.247253  ]
 [  13.834368     16.065792  ]
 [ -18.496641    -14.309099  ]
 [   4.556553      7.560234  ]
 [  -8.945699     -6.431123  ]
 [  -4.6810884    -0.8590788 ]
 [  -0.97658515    1.0348504 ]
 [  -8.268972     -5.8802347 ]
 [  -9.336193     -6.995039  ]
 [   2.04354       3.3577352 ]
 [ -12.791784     -9.777555  ]
 [   2.560554      3.4923644 ]]","[[-1.8941071e+02 -2.4108498e+02]
 [-5.1362219e+00 -1.2100977e+00]
 [-9.2765205e+01 -8.9552025e+01]
 [ 1.1913927e+01  1.6014999e+01]
 [-3.8734255e+00  9.1078508e-01]
 [ 1.7604286e+01  2.2528198e+01]
 [-2.5377344e+01 -2.2420799e+01]
 [-3.0734973e+00  1.4576395e-01]
 [-1.8181377e+01 -1.4924713e+01]
 [ 7.9324946e+00  1.1428701e+01]
 [-1.1109648e+01 -7.4954867e+00]
 [ 4.5968471e+00  7.7781267e+00]
 [-1.2628117e+01 -1.0045511e+01]
 [-5.6673741e+00 -3.2719855e+00]
 [-5.0071793e+00 -2.6161966e+00]
 [-4.3938284e+00 -2.1680446e+00]
 [-7.1771059e+00 -4.9538641e+00]
 [-4.1064801e+00 -2.3776059e+00]
 [-6.3902593e+00 -4.1886768e+00]
 [-2.3646164e+00 -9.7483969e-01]]"
10,15,[-0.00281179 -0.01006803],[-4.84606296  0.77206641],[-5.03273368 -1.14370994],[-0.00580499 -0.00580499 -0.02902494],"[[-237.0159     -286.88315   ]
 [  10.640083     13.999086  ]
 [ -86.75325     -83.54907   ]
 [   3.7632596     8.360825  ]
 [  12.879396     17.320908  ]
 [  12.947474     18.510456  ]
 [ -22.751556    -19.914654  ]
 [   5.087366      8.336084  ]
 [ -27.520378    -24.019249  ]
 [  12.74121      15.002597  ]
 [ -18.216255    -14.382063  ]
 [   4.6419067     7.668749  ]
 [  -8.003204     -5.427002  ]
 [  -4.235753     -0.7387934 ]
 [  -1.302463      0.91095376]
 [  -8.093469     -6.0781174 ]
 [  -9.687778     -7.5254655 ]
 [   2.3922274     3.7542095 ]
 [ -13.140145    -10.529727  ]
 [   2.9068398     3.9948359 ]]","[[-183.4087     -235.41165   ]
 [  -6.515724     -2.6791053 ]
 [ -93.41968     -90.28699   ]
 [  12.855635     16.833965  ]
 [  -5.205115     -0.55404013]
 [  17.492075     22.315414  ]
 [ -24.936964    -22.110903  ]
 [  -3.8508744    -0.76034665]
 [ -18.531403    -15.395947  ]
 [   9.014968     12.46917   ]
 [ -11.012667     -7.425472  ]
 [   5.211804      8.342491  ]
 [ -12.404951     -9.936485  ]
 [  -6.330351     -4.0513287 ]
 [  -4.359147     -2.1114998 ]
 [  -4.907918     -2.7578697 ]
 [  -6.1885843    -4.048276  ]
 [  -4.5767584    -2.9417691 ]
 [  -6.081613     -3.966817  ]
 [  -1.9985571    -0.7042768 ]]"
10,20,[-0.00276644 -0.0114966 ],[-6.1492604   1.17106751],[-6.3933301  -1.58170879],[-0.01160998 -0.00580499 -0.02902494],"[[-2.4564713e+02 -2.9506888e+02]
 [ 1.4468250e+01  1.7588989e+01]
 [-8.6534164e+01 -8.3398148e+01]
 [ 5.8866930e+00  1.0565392e+01]
 [ 1.2382956e+01  1.6631252e+01]
 [ 1.5147175e+01  2.0770737e+01]
 [-2.3169525e+01 -2.0467117e+01]
 [ 5.2735996e+00  8.3100414e+00]
 [-2.8924149e+01 -2.5465395e+01]
 [ 1.2667904e+01  1.4603008e+01]
 [-1.8035606e+01 -1.4149521e+01]
 [ 5.8194571e+00  8.8945103e+00]
 [-7.6108389e+00 -5.1786041e+00]
 [-3.7499576e+00 -1.8328664e-01]
 [-1.4431064e+00  6.2011999e-01]
 [-8.0853138e+00 -6.2283049e+00]
 [-9.2165260e+00 -7.1515908e+00]
 [ 1.4758656e+00  2.5966868e+00]
 [-1.2252047e+01 -9.5789595e+00]
 [ 3.2041698e+00  4.1631808e+00]]","[[-179.56784   -231.84328  ]
 [  -5.7251096   -1.9558918]
 [ -95.68015    -92.60035  ]
 [  14.779374    18.684814 ]
 [  -6.9044766   -2.3520794]
 [  17.124088    21.8671   ]
 [ -24.303467   -21.562809 ]
 [  -4.840577    -1.8384856]
 [ -18.436571   -15.390202 ]
 [   8.771679    12.200965 ]
 [  -9.643748    -6.042311 ]
 [   4.364476     7.456494 ]
 [ -11.321346    -8.897516 ]
 [  -7.5071783   -5.301197 ]
 [  -3.4373941   -1.2699397]
 [  -5.478864    -3.377485 ]
 [  -5.9249854   -3.8379343]
 [  -4.3213496   -2.74309  ]
 [  -6.7517095   -4.6777954]
 [  -0.6955478    0.5421336]]"
10,25,[-0.00272109 -0.01043084],[-7.31515229  1.45202577],[-7.61990428 -2.0787622 ],[-0.01160998  0.         -0.02902494],"[[-252.74362    -301.91565   ]
 [  15.890219     19.382902  ]
 [ -84.98135     -81.717026  ]
 [   7.3118753    11.977957  ]
 [  11.293895     16.09275   ]
 [  17.736225     23.141293  ]
 [ -24.665216    -21.667227  ]
 [   4.0129747     7.1148553 ]
 [ -29.808376    -26.574425  ]
 [  11.397933     13.797932  ]
 [ -16.785334    -12.922666  ]
 [   6.800707     10.162279  ]
 [  -8.931099     -6.1116686 ]
 [  -2.323357      0.9858213 ]
 [  -3.36558      -0.81724936]
 [  -7.289485     -5.572908  ]
 [  -9.638004     -7.611397  ]
 [  -0.5298334     0.964749  ]
 [  -9.872229     -7.3279166 ]
 [   2.0544043     3.4572897 ]]","[[-178.028     -230.42322  ]
 [  -2.817835     1.0719607]
 [ -99.6072     -96.38176  ]
 [  17.509964    21.528568 ]
 [  -9.124393    -4.450663 ]
 [  16.784885    21.626625 ]
 [ -24.03879    -21.19249  ]
 [  -5.7602043   -2.6382937]
 [ -17.970566   -14.822374 ]
 [   7.4649816   11.026653 ]
 [  -7.817455    -4.0326204]
 [   3.179462     6.42517  ]
 [ -10.763807    -8.223673 ]
 [  -8.111915    -5.781488 ]
 [  -3.2793708   -1.0089811]
 [  -5.4286547   -3.1850624]
 [  -6.76087     -4.6122923]
 [  -3.5632968   -1.8461977]
 [  -7.848515    -5.630551 ]
 [   0.6449759    1.9593812]]"
10,30,[-0.00267574 -0.01043084],[-8.35086823  2.51761228],[-8.7289387 -2.5102073],[-0.01160998  0.         -0.02902494],"[[-260.5677     -309.4251    ]
 [  18.14518      21.622583  ]
 [ -83.25518     -79.97952   ]
 [   8.2344       12.8373375 ]
 [  11.47954      16.31328   ]
 [  19.205761     24.510612  ]
 [ -26.020496    -23.124706  ]
 [   2.0171793     4.9135275 ]
 [ -30.6302      -27.532148  ]
 [  11.637856     14.133923  ]
 [ -14.920307    -11.008315  ]
 [   7.393173     10.792635  ]
 [  -9.792214     -6.925517  ]
 [  -1.7652341     1.389957  ]
 [  -4.2667665    -1.7686056 ]
 [  -6.7237053    -5.154542  ]
 [ -10.992031     -9.067341  ]
 [  -0.62112844    0.8708846 ]
 [  -8.133507     -5.5413547 ]
 [   0.95203465    2.4508433 ]]","[[-1.7867291e+02 -2.3123997e+02]
 [ 2.5242105e+00  6.4416018e+00]
 [-1.0478823e+02 -1.0150961e+02]
 [ 2.1081966e+01  2.5113989e+01]
 [-1.1569576e+01 -6.8643847e+00]
 [ 1.6858746e+01  2.1705463e+01]
 [-2.4325050e+01 -2.1485901e+01]
 [-6.2219486e+00 -3.0481920e+00]
 [-1.7436615e+01 -1.4282755e+01]
 [ 6.0768204e+00  9.6726303e+00]
 [-6.4604139e+00 -2.5985813e+00]
 [ 2.5227728e+00  5.8335638e+00]
 [-1.0505600e+01 -7.9437590e+00]
 [-8.8536472e+00 -6.4475360e+00]
 [-2.0899494e+00  2.1526825e-01]
 [-6.4969692e+00 -4.1726046e+00]
 [-6.3590546e+00 -4.2143912e+00]
 [-3.8461976e+00 -2.0695753e+00]
 [-8.0190144e+00 -5.6881461e+00]
 [ 1.7817867e+00  3.0923777e+00]]"
10,35,[-0.00263039 -0.01043084],[-9.21389818  2.57255495],[-9.67980921 -2.91734576],[-0.01160998  0.         -0.00580499],"[[-269.09753   -317.41922  ]
 [  21.967392    25.22018  ]
 [ -81.3752     -78.02664  ]
 [   8.91263     13.551872 ]
 [  13.103648    17.653675 ]
 [  19.19286     24.595276 ]
 [ -27.11819    -24.50398  ]
 [  -0.6248653    1.9769694]
 [ -30.933422   -27.642784 ]
 [  13.955257    16.340899 ]
 [ -13.341163    -9.217453 ]
 [   7.5619755   10.922354 ]
 [ -10.326046    -7.6816554]
 [  -2.192676     1.0022318]
 [  -3.444852    -1.2642443]
 [  -8.193426    -6.7637854]
 [ -11.002209    -8.962672 ]
 [   0.9065941    2.1723804]
 [  -8.162076    -5.3175683]
 [   1.4063317    2.8158562]]","[[-182.46642    -235.40517   ]
 [  11.686745     15.717142  ]
 [-112.05385    -108.97761   ]
 [  26.170528     30.198746  ]
 [ -14.19548      -9.569477  ]
 [  16.919529     21.61427   ]
 [ -23.242264    -20.417015  ]
 [  -8.580046     -5.581669  ]
 [ -13.607517    -10.407074  ]
 [   2.1491153     5.5392313 ]
 [  -2.8612914     1.0660565 ]
 [   0.37092316    3.5172143 ]
 [  -8.51009      -5.946971  ]
 [ -10.664505     -8.343395  ]
 [   0.40524283    2.649488  ]
 [  -7.755891     -5.432949  ]
 [  -6.116596     -4.196351  ]
 [  -2.926652     -1.0760779 ]
 [  -9.4777155    -7.327464  ]
 [   5.024866      6.3642044 ]]"
10,40,[-0.00260771 -0.01034014],[-9.9550128   1.88841641],[-10.51467061  -3.31853032],[-0.01160998  0.         -0.00580499],"[[-2.7683783e+02 -3.2466879e+02]
 [ 2.5141668e+01  2.8511295e+01]
 [-7.9971924e+01 -7.6446884e+01]
 [ 1.0973344e+01  1.5694323e+01]
 [ 1.2070835e+01  1.6691082e+01]
 [ 2.0254400e+01  2.5629555e+01]
 [-3.0910793e+01 -2.8377518e+01]
 [-3.5902574e+00 -9.2709851e-01]
 [-2.8730375e+01 -2.5299896e+01]
 [ 1.5232946e+01  1.8072701e+01]
 [-1.0979727e+01 -6.7820997e+00]
 [ 6.1122265e+00  9.6241417e+00]
 [-1.2358837e+01 -9.7920876e+00]
 [-2.1862069e-01  2.9762282e+00]
 [-6.2738400e+00 -4.0928392e+00]
 [-8.1704178e+00 -6.6515498e+00]
 [-9.5998993e+00 -7.3215213e+00]
 [ 5.0036144e-01  1.9709111e+00]
 [-6.9622688e+00 -4.0080070e+00]
 [-3.2728559e-01  1.1699715e+00]]","[[-1.8178853e+02 -2.3485556e+02]
 [ 1.3874552e+01  1.7841002e+01]
 [-1.1368805e+02 -1.1054117e+02]
 [ 2.7136467e+01  3.1064886e+01]
 [-1.5547127e+01 -1.0829334e+01]
 [ 1.7590282e+01  2.2166203e+01]
 [-2.4671124e+01 -2.1820808e+01]
 [-8.2710562e+00 -5.3010335e+00]
 [-1.3230987e+01 -1.0020304e+01]
 [ 1.9937994e+00  5.4023585e+00]
 [-3.8427503e+00  1.5986040e-02]
 [ 1.6133820e+00  4.8400698e+00]
 [-9.4191113e+00 -6.9652090e+00]
 [-1.1080601e+01 -8.5967770e+00]
 [ 2.4526696e+00  4.5707808e+00]
 [-1.0449692e+01 -7.9456267e+00]
 [-3.3167002e+00 -1.6239454e+00]
 [-6.3957653e+00 -4.3582773e+00]
 [-5.9636803e+00 -3.9155664e+00]
 [ 2.5962920e+00  3.9733143e+00]]"
10,45,[-0.00256236 -0.00972789],[-10.62173128   1.42463267],[-11.25995517  -3.83044392],[-0.01160998  0.         -0.00580499],"[[-286.02393    -333.01996   ]
 [  30.828976     33.74584   ]
 [ -78.72335     -74.89115   ]
 [  12.122941     16.593536  ]
 [  12.896175     17.497145  ]
 [  18.209883     23.176971  ]
 [ -34.69258     -32.094612  ]
 [  -4.475771     -2.03824   ]
 [ -26.589905    -22.609291  ]
 [  19.62364      22.208523  ]
 [ -11.744104     -7.1792126 ]
 [   3.9576585     6.8891373 ]
 [ -11.871533     -9.284242  ]
 [  -1.4684145     1.4223744 ]
 [  -6.9684277    -4.609741  ]
 [  -7.16634      -5.724814  ]
 [  -8.044264     -5.462879  ]
 [   1.0320807     2.1713533 ]
 [  -8.850815     -5.7366066 ]
 [   0.92860085    1.9365228 ]]","[[-1.7904460e+02 -2.3220940e+02]
 [ 1.2637396e+01  1.6526272e+01]
 [-1.1163799e+02 -1.0839563e+02]
 [ 2.5234554e+01  2.9040657e+01]
 [-1.5015892e+01 -1.0188192e+01]
 [ 1.7403721e+01  2.1867992e+01]
 [-2.5454794e+01 -2.2586020e+01]
 [-8.2778740e+00 -5.3161106e+00]
 [-1.3116546e+01 -9.9135342e+00]
 [ 3.3401937e+00  6.8163633e+00]
 [-6.9529982e+00 -3.2240443e+00]
 [ 5.1301603e+00  8.4463148e+00]
 [-1.2908878e+01 -1.0557507e+01]
 [-8.2786636e+00 -5.6704555e+00]
 [ 1.3841596e+00  3.4677267e+00]
 [-1.0425743e+01 -7.8892298e+00]
 [-2.1878564e+00 -5.6839854e-01]
 [-9.2022514e+00 -7.1375098e+00]
 [-1.8301427e+00  2.1151635e-01]
 [-1.3457417e+00 -1.0825902e-02]]"
